Host Country,United States of America,United Kingdom
Israel,1. B1 Work Permit Application; 2. Visa Application at the Ministry of Interior (Request for Consular Notification); 3. B1 Visa Application (B2 for Dependents); 4. Multiple-Entry Visa Stamp Application [B1 Foreign Expert Visa (Academic Qualifications)]; 1. B1 Work Permit (HIT) Application [90-Days Hi-Tech Visa (HIT)]; 1. B1 Work Permit Application; 2. Request for Consular Notification; 3. B1 Visa Application; 4. Multiple-Entry Visa Stamp Application [B1 Foreign Expert Visa (Professional Qualifications)]; 1. B1 Work Permit Application; 2. B1 Work Visa Application (Ministry of Interior Approval); 3. B1 Work Visa (Consular Processing) [B1 Short-Term Employment Process (STEP) Visa]; 1. B1 Work Permit Application; 2. B1 Visa Application [B1 Short Employment Authorisation (SEA) Visa (Under 45 Days)]; 1. B1 Work Permit (HIT) Application; 2. Employment Authorisation for Spouse (EAS) Application; 3. Visa Application at the Ministry of Interior [365 Hi-Tech Visa (HIT)],1. B1 Work Permit Application; 2. Visa Application at the Ministry of Interior (Request for Consular Notification); 3. B1 Visa Application (B2 for Dependents); 4. Multiple-Entry Visa Stamp Application [B1 Foreign Expert Visa (Academic Qualifications)]; 1. B1 Work Permit (HIT) Application [90-Days Hi-Tech Visa (HIT)]; 1. B1 Work Permit Application; 2. Request for Consular Notification; 3. B1 Visa Application; 4. Multiple-Entry Visa Stamp Application [B1 Foreign Expert Visa (Professional Qualifications)]; 1. B1 Work Permit Application; 2. B1 Work Visa Application (Ministry of Interior Approval); 3. B1 Work Visa (Consular Processing) [B1 Short-Term Employment Process (STEP) Visa]; 1. B1 Work Permit Application; 2. B1 Visa Application [B1 Short Employment Authorisation (SEA) Visa (Under 45 Days)]; 1. B1 Work Permit (HIT) Application; 2. Employment Authorisation for Spouse (EAS) Application; 3. Visa Application at the Ministry of Interior [365 Hi-Tech Visa (HIT)]
Italy,1. Communication to Trade Unions; 2. Work Permit (Nulla Osta) Application; 3. Visa Type D Application; 4. Fiscal Code Application; 5. Posted Worker Notification; 6. Contract of Stay and Integration Agreement Signature; 7. Permit of Stay Application; 8. Town Hall Registration [Foreign Service Provider (Non-Affiliated Companies)]; 1. Work Permit (Nulla Osta) Application; 2. Visa Type D Application; 3. Fiscal Code Application; 4. Job Contract and Integration Agreement Signature; 5. Permit of Stay Application; 6. Town Hall Registration [Non-Quota Work Permit for Intra-Company Transferee]; 1. EU ICT Work Permit Application; 2. Visa Type D Application; 3. Fiscal Code Application; 4. Integration Agreement Signature; 5. Permit of Stay Application; 6. Town Hall Registration [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Blue Card Application; 2. Visa Type D Application; 3. Fiscal Code Application; 4. Contract of Stay and Integration Agreement Signature; 5. Permit of Stay Application; 6. Town Hall Registration [Blue Card (Carta Blu UE)]; 1. Posted Worker Notification [Entry as Business Visitor],1. Communication to Trade Unions; 2. Work Permit (Nulla Osta) Application; 3. Visa Type D Application; 4. Fiscal Code Application; 5. Posted Worker Notification; 6. Contract of Stay and Integration Agreement Signature; 7. Permit of Stay Application; 8. Town Hall Registration [Foreign Service Provider (Non-Affiliated Companies)]; 1. Work Permit (Nulla Osta) Application; 2. Visa Type D Application; 3. Fiscal Code Application; 4. Job Contract and Integration Agreement Signature; 5. Permit of Stay Application; 6. Town Hall Registration [Non-Quota Work Permit for Intra-Company Transferee]; 1. EU ICT Work Permit Application; 2. Visa Type D Application; 3. Fiscal Code Application; 4. Integration Agreement Signature; 5. Permit of Stay Application; 6. Town Hall Registration [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Blue Card Application; 2. Visa Type D Application; 3. Fiscal Code Application; 4. Contract of Stay and Integration Agreement Signature; 5. Permit of Stay Application; 6. Town Hall Registration [Blue Card (Carta Blu UE)]; 1. Posted Worker Notification [Entry as Business Visitor]
Jamaica,"1. Work Permit Application; 2. Visitor Visa Application; 3. Registration with Passport, Immigration and Citizenship Agency (PICA) [Work Permit]","1. Work Permit Application; 2. Registration with Passport, Immigration and Citizenship Agency (PICA) [Work Permit]"
Japan,1. Certificate of Eligibility Application; 2. Entry Visa Application; 3. Residence Permit Application; 4. Registration with Local Municipal Office [Working Visa (Business Manager)]; 1. Certificate of Eligibility Application; 2. Intra-Company Transferee Entry Visa Application; 3. Residence Permit Application; 4. Registration with Local Municipal Office [Working Visa (Intra-Company Transferee)]; 1. Certificate of Eligibility Application; 2. Entry Visa Application; 3. Registration with Local Municipal Office [Highly Skilled Foreign Professional]; 1. Certificate of Eligibility Application; 2. Entry Visa Application; 3. Residence Permit Application; 4. Registration with Local Municipal Office [Working Visa (Engineer/Specialist in Humanities/International Services)],1. Certificate of Eligibility Application; 2. Entry Visa Application; 3. Residence Permit Application; 4. Registration with Local Municipal Office [Working Visa (Business Manager)]; 1. Certificate of Eligibility Application; 2. Intra-Company Transferee Entry Visa Application; 3. Residence Permit Application; 4. Registration with Local Municipal Office [Working Visa (Intra-Company Transferee)]; 1. Certificate of Eligibility Application; 2. Entry Visa Application; 3. Registration with Local Municipal Office [Highly Skilled Foreign Professional]; 1. Certificate of Eligibility Application; 2. Entry Visa Application; 3. Residence Permit Application; 4. Registration with Local Municipal Office [Working Visa (Engineer/Specialist in Humanities/International Services)]
Kazakhstan,"1. Local Labour Market Search; 2. Work Permit Application; 3. Work Permit Issuance; 4. Work Visa/Dependent Visa Letter of Invitation Application; 5. Work Visa/Dependent Visa Application [Intra-Company Transfer Work Permit for Managers, Specialists and Qualified Workers]; 1. Work Visa/Dependent Visa Letter of Invitation Application; 2. Work Visa/Dependent Visa Application [Work Visa for First Category Employees]; 1. Work Permit Application; 2. Work Permit Issuance; 3. Work Visa/Dependent Visa Letter of Invitation Application; 4. Work Visa/Dependent Visa Application [Local-Hire Work Permit for Managers, Specialists and Qualified Workers]; 1. Letter of Invitation Application; 2. Business Visa Application; 3. Long-Term Registration [Business Visa for Temporary Assignments (Under 90 Days)]","1. Local Labour Market Search; 2. Work Permit Application; 3. Work Permit Issuance; 4. Work Visa/Dependent Visa Letter of Invitation Application; 5. Work Visa/Dependent Visa Application [Intra-Company Transfer Work Permit for Managers, Specialists and Qualified Workers]; 1. Work Visa/Dependent Visa Letter of Invitation Application; 2. Work Visa/Dependent Visa Application [Work Visa for First Category Employees]; 1. Work Permit Application; 2. Work Permit Issuance; 3. Work Visa/Dependent Visa Letter of Invitation Application; 4. Work Visa/Dependent Visa Application [Local-Hire Work Permit for Managers, Specialists and Qualified Workers]; 1. Letter of Invitation Application; 2. Business Visa Application; 3. Long-Term Registration [Business Visa for Temporary Assignments (Under 90 Days)]"
Kenya,1. Entry Permit Class D Online Application; 2. Entry Permit Class D Application; 3. E-Visa Application; 4. Dependent Pass Application; 5. Student Pass Application; 6. Foreign National Certificate Application; 7. Re-Entry Pass Application [Entry/Work Permit Class D]; 1. Special Pass Online Application; 2. Special Pass Application; 3. E-Visa Application; 4. Special Pass Endorsement [Special Pass],1. Entry Permit Class D Online Application; 2. Entry Permit Class D Application; 3. E-Visa Application; 4. Dependent Pass Application; 5. Student Pass Application; 6. Foreign National Certificate Application; 7. Re-Entry Pass Application [Entry/Work Permit Class D]; 1. Special Pass Online Application; 2. Special Pass Application; 3. E-Visa Application; 4. Special Pass Endorsement [Special Pass]
Kuwait,1. Work Permit Approval Application; 2. Consular Visa Procedure; 3. Local Immigration Medical; 4. Residence Permit (Iqama) Application; 5. Civil ID and Residence Card Application; 6. Dependent Entry Permit(s); 7. Dependent Residence Permit (Iqama) Application; 8. Civil ID and Residence Card Application (Dependents) [Work and Residence Permit],1. Work Permit Approval Application; 2. Consular Visa Procedure; 3. Local Immigration Medical; 4. Residence Permit (Iqama) Application; 5. Civil ID and Residence Card Application; 6. Dependent Entry Permit(s); 7. Dependent Residence Permit (Iqama) Application; 8. Civil ID and Residence Card Application (Dependents) [Work and Residence Permit]
Latvia,1. Foreign Worker Invitation Application; 2. Posted Worker Notification (If Applicable); 3. Temporary Residence Permit Application (Post Arrival); 4. OCMA Office Visit [Temporary Residence Permit for Employment]; 1. Foreign Worker Invitation Application; 2. EU Blue Card Application; 3. OCMA Office Visit [EU Blue Card]; 1. Foreign Worker Invitation Application; 2. EU ICT Permit Application; 3. Visa Type D Application; 4. OCMA Office Visit [Intra-Corporate Transfer Residence Permit (EU Directive 2014/66)],1. Foreign Worker Invitation Application; 2. Posted Worker Notification (If Applicable); 3. OCMA Office Visit [Temporary Residence Permit for Employment]; 1. Foreign Worker Invitation Application; 2. EU Blue Card Application; 3. OCMA Office Visit [EU Blue Card]; 1. Foreign Worker Invitation Application; 2. EU ICT Permit Application; 3. Visa Type D Application; 4. OCMA Office Visit [Intra-Corporate Transfer Residence Permit (EU Directive 2014/66)]
Lebanon,1. Local Labour Market Notification; 2. Work Permit Preliminary Approval Application; 3. Guarantee Deposit and Work Permit Final Approval; 4. Work Visa Application; 5. Work Permit Application; 6. Annual Residence Permit Application [Work Permit],1. Local Labour Market Notification; 2. Work Permit Preliminary Approval Application; 3. Guarantee Deposit and Work Permit Final Approval; 4. Work Visa Application; 5. Work Permit Application; 6. Annual Residence Permit Application [Work Permit]
Lithuania,1. Online Temporary Residence Permit Application; 2. Address Registration; 3. In-Person Temporary Residence Permit Application Appointment; 4. Visa Type D Application; 5. LDU Notification [Temporary Residence Permit (Preferred Nationals)]; 1. Online Temporary Residence Permit Application; 2. In-Person Temporary Residence Permit Application Appointment; 3. Temporary Residence Permit Collection and Address Registration; 4. Posted Worker Notification; 5. LDU Notification [Intra Company Transfer for Manager or Specialist (EU Directive 2014/66)]; 1. Work Permit Application; 2. National D Visa Application; 3. LDU Notification; 4. Address Registration [Work Permit (Up to 1 Year)]; 1. National D Visa Application; 2. LDU Notification; 3. Address Registration [Work Permit Exemption for Shortage Occupations (Up to 1 Year)]; 1. Online Temporary Residence Permit Application; 2. Address Registration; 3. In-Person Temporary Residence Permit Application Appointment; 4. National D Visa Application; 5. Posted Worker Notification; 6. LDU Notification [Assignment from EU],1. Work Permit; 2. Online Temporary Residence Permit Application; 3. Address Registration; 4. In-Person Temporary Residence Permit Application Appointment; 5. National D Visa Application; 6. LDU Notification [Temporary Residence Permit]; 1. Online Temporary Residence Permit Application; 2. Address Registration; 3. In-Person Temporary Residence Permit Application Appointment; 4. National D Visa Application; 5. LDU Notification [Temporary Residence Permit (Shortage Occupations)]; 1. Decision on the Compliance with Labour Market Needs; 2. Online Temporary Residence Permit Application; 3. Address Registration; 4. In-Person Temporary Residence Permit Application Appointment; 5. National D Visa Application; 6. LDU Notification [Blue Card]; 1. Online Temporary Residence Permit Application; 2. In-Person Temporary Residence Permit Application Appointment; 3. Temporary Residence Permit Collection and Address Registration; 4. Posted Worker Notification; 5. LDU Notification [Intra Company Transfer for Manager or Specialist (EU Directive 2014/66)]; 1. Work Permit Application; 2. National D Visa Application; 3. LDU Notification; 4. Address Registration [Work Permit (Up to 1 Year)]; 1. National D Visa Application; 2. LDU Notification; 3. Address Registration [Work Permit Exemption for Shortage Occupations (Up to 1 Year)]; 1. Online Temporary Residence Permit Application; 2. Address Registration; 3. In-Person Temporary Residence Permit Application Appointment; 4. National D Visa Application; 5. Posted Worker Notification; 6. LDU Notification [Assignment from EU]
Luxembourg,1. Posted Worker Notification and Social Identification Badge Request; 2. Declaration of Arrival; 3. Residence Permit (Titre de Séjour) Application [Van der Elst (Assignment from Within the EEA/EFTA)]; 1. Check with Administration of Employment; 2. Local Contract Signature; 3. Temporary Authorisation Application; 4. Declaration of Arrival; 5. Immigration Medical; 6. Residence Permit (Titre de Séjour) Application; 7. Collection of Residence Certificate [Work Permit (Local Hire)]; 1. Temporary Authorisation Application; 2. Posted Worker Notification and Social Identification Badge Request; 3. Declaration of Arrival; 4. Immigration Medical; 5. Residence Permit (Titre de Séjour) Application [Work Permit (Assignment from Outside EEA/Switzerland)]; 1. Temporary Authorisation Application; 2. Posted Worker Notification and Social Identification Badge Request; 3. Declaration of Arrival; 4. Immigration Medical; 5. Residence Permit (Titre de Séjour) Application; 6. Collection of Residence Certificate [Intra-Company Transfer Permit (EU Directive 2014/66) ]; 1. Temporary Authorisation Application; 2. Declaration of Arrival; 3. Immigration Medical; 4. Residence Permit (Titre de Séjour) Application; 5. Collection of Residence Certificate [Blue Card],1. Posted Worker Notification and Social Identification Badge Request; 2. Declaration of Arrival; 3. Residence Permit (Titre de Séjour) Application [Van der Elst (Assignment from Within the EEA/EFTA)]; 1. Check with Administration of Employment; 2. Local Contract Signature; 3. Temporary Authorisation Application; 4. Declaration of Arrival; 5. Immigration Medical; 6. Residence Permit (Titre de Séjour) Application; 7. Collection of Residence Certificate [Work Permit (Local Hire)]; 1. Temporary Authorisation Application; 2. Posted Worker Notification and Social Identification Badge Request; 3. Declaration of Arrival; 4. Immigration Medical; 5. Residence Permit (Titre de Séjour) Application [Work Permit (Assignment from Outside EEA/Switzerland)]; 1. Temporary Authorisation Application; 2. Posted Worker Notification and Social Identification Badge Request; 3. Declaration of Arrival; 4. Immigration Medical; 5. Residence Permit (Titre de Séjour) Application; 6. Collection of Residence Certificate [Intra-Company Transfer Permit (EU Directive 2014/66) ]; 1. Temporary Authorisation Application; 2. Declaration of Arrival; 3. Immigration Medical; 4. Residence Permit (Titre de Séjour) Application; 5. Collection of Residence Certificate [Blue Card]
Malaysia,1. Salary Exemption Approval Application; 2. ***Effective 1 January 2021*** Labour Market Test; 3. Employment Pass Approval Application (Online); 4. Reference Visa (VDR) Consular Application; 5. Employment Pass Endorsement [Employment Pass III (Up to 12 Months)]; 1. Professional Visit Pass Approval Application; 2. Reference Visa (VDR) Consular Application; 3. Professional Visit Pass Endorsement [Professional Visit Pass]; 1. ***EFFECTIVE 1 JANUARY 2021*** Labour Market Test; 2. Employment Pass Application (Online); 3. (Optional) Reference Visa (VDR) Consular Application; 4. Employment Pass Endorsement [Employment Pass I/II]; 1. ***EFFECTIVE 1 JANUARY 2021*** Labour Market Test; 2. MDEC Approval; 3. Reference Visa (VDR) Consular Application; 4. Employment Pass Endorsement [Employment Pass I/II for MSC Status Companies]; 1. MDEC Approval; 2. Reference Visa (VDR) Consular Application; 3. Employment Pass Endorsement [Employment Pass III (Up to 12 Months) for MSC Status Companies]; 1. ***Effective 1 January 2021*** Labour Market Test; 2. MDEC Approval; 3. Reference Visa (VDR) Consular Application; 4. Employment Pass Endorsement [Employment Pass I/II for Information Communications Technology]; 1. MDEC Approval; 2. Reference Visa (VDR) Consular Application; 3. Employment Pass Endorsement [Employment Pass III (Up to 12 Months) for Information Communications Technology],1. Salary Exemption Approval Application; 2. ***Effective 1 January 2021*** Labour Market Test; 3. Employment Pass Approval Application (Online); 4. Reference Visa (VDR) Consular Application; 5. Employment Pass Endorsement [Employment Pass III (Up to 12 Months)]; 1. Professional Visit Pass Approval Application; 2. Professional Visit Pass Endorsement [Professional Visit Pass]; 1. ***EFFECTIVE 1 JANUARY 2021*** Labour Market Test; 2. Employment Pass Application (Online); 3. Employment Pass Endorsement [Employment Pass I/II]; 1. ***EFFECTIVE 1 JANUARY 2021*** Labour Market Test; 2. MDEC Approval; 3. Employment Pass Endorsement [Employment Pass I/II for MSC Status Companies]; 1. MDEC Approval; 2. Employment Pass Endorsement [Employment Pass III (Up to 12 Months) for MSC Status Companies]; 1. ***Effective 1 January 2021*** Labour Market Test; 2. MDEC Approval; 3. Employment Pass Endorsement [Employment Pass I/II for Information Communications Technology]; 1. Labour Market Test; 2. MDEC Approval; 3. Employment Pass Endorsement [Employment Pass III (Up to 12 Months) for Information Communications Technology]
Malta,1. Qualifications Recognition; 2. Work and Residence Permit Application(s) [Key Employee Initiative]; 1. Posted Worker Notification; 2. Residence Permit Application [Assignment From Within the EEA]; 1. Qualifications Recognition; 2. Work and Residence Permit Application(s); 3. Posted Worker Notification [Work and Residence Permit ]; 1. Employment Licence Application(s); 2. Posted Worker Notification; 3. Residence Permit Application [Employment Licence (Under 6 Months)]; 1. Qualifications Recognition; 2. Blue Card Application(s) [Blue Card ],1. Qualifications Recognition; 2. Work and Residence Permit Application(s) [Key Employee Initiative]; 1. Posted Worker Notification; 2. Residence Permit Application [Assignment From Within the EEA]; 1. Qualifications Recognition; 2. Work and Residence Permit Application(s); 3. Posted Worker Notification [Work and Residence Permit ]; 1. Employment Licence Application(s); 2. Posted Worker Notification; 3. Residence Permit Application [Employment Licence (Under 6 Months)]; 1. Qualifications Recognition; 2. Blue Card Application(s) [Blue Card ]
Mexico,1. Work Visa Approval Application; 2. Consular Visa Application [Visitor Visa - Remunerated Activities (Short-Term Assignee)]; 1. Consular Visa Application; 2. Temporary Residence Card Application; 3. Interview for Temporary Residence Card Application; 4. In-Country Change of Status [Temporary Resident - Non-Remunerated Activities (Assignee)]; 1. Work Visa Approval Application; 2. Consular Visa Application; 3. Temporary Residence Card Application; 4. Interview for Temporary Residence Card Application; 5. In-Country Change of Status [Temporary Resident - Remunerated Activities (Local Hire)],1. Work Visa Approval Application; 2. Consular Visa Application [Visitor Visa - Remunerated Activities (Short-Term Assignee)]; 1. Consular Visa Application; 2. Temporary Residence Card Application; 3. Interview for Temporary Residence Card Application; 4. In-Country Change of Status [Temporary Resident - Non-Remunerated Activities (Assignee)]; 1. Work Visa Approval Application; 2. Consular Visa Application; 3. Temporary Residence Card Application; 4. Interview for Temporary Residence Card Application; 5. In-Country Change of Status [Temporary Resident - Remunerated Activities (Local Hire)]
Morocco,1. Work Authorisation Application; 2. Immigration Medical; 3. Residence Permit (Titre de Séjour) Application [Work Authorisation (Assignment to Subsidiary)]; 1. ANAPEC Application; 2. Work Authorisation Application; 3. Immigration Medical; 4. Residence Permit (Titre de Séjour) Application [Work Authorisation],1. Work Authorisation Application; 2. Immigration Medical; 3. Residence Permit (Titre de Séjour) Application [Work Authorisation (Assignment to Subsidiary)]; 1. ANAPEC Application; 2. Work Authorisation Application; 3. Immigration Medical; 4. Residence Permit (Titre de Séjour) Application [Work Authorisation]
Mozambique,"1. Short-Term Work Communication Submission; 2. Business Visa Application [Short-Term Work Permit]; 1. Short-Term Work Communication Submission; 2. Business Visa Application [Short-Term Work Permit (Oil, Gas and Mining Sector)]; 1. Certificate of Equivalence Application; 2. Work Permit Communication Submission; 3. Work/Temporary Stay Visa Application; 4. Long-Term Work Visa Application; 5. Dependent Temporary Residence Authorisation (DIRE) Application; 6. Exit Permit Application [Work Permit (Quota)]; 1. Certificate of Equivalence Application; 2. Union Approval; 3. Work Authorisation Application; 4. Work/Temporary Stay Visa Application; 5. Long-Term Work Visa Application; 6. Temporary Residence Authorisation (DIRE) Application; 7. Exit Permit Application [Work Authorisation (Out of Quota)]","1. Short-Term Work Communication Submission; 2. Business Visa Application [Short-Term Work Permit]; 1. Short-Term Work Communication Submission; 2. Business Visa Application [Short-Term Work Permit (Oil, Gas and Mining Sector)]; 1. Certificate of Equivalence Application; 2. Work Permit Communication Submission; 3. Work/Temporary Stay Visa Application; 4. Long-Term Work Visa Application; 5. Dependent Temporary Residence Authorisation (DIRE) Application; 6. Exit Permit Application [Work Permit (Quota)]; 1. Certificate of Equivalence Application; 2. Union Approval; 3. Work Authorisation Application; 4. Work/Temporary Stay Visa Application; 5. Long-Term Work Visa Application; 6. Temporary Residence Authorisation (DIRE) Application; 7. Exit Permit Application [Work Authorisation (Out of Quota)]"
Namibia,1. Short-Term Work Visa Application; 2. Study Permit Application [Short-Term Work Visa (Under 90 Days)]; 1. Labour Market Test; 2. Work Permit Application; 3. Study Permit Application [Work Permit],1. Short-Term Work Visa Application; 2. Study Permit Application [Short-Term Work Visa (Under 90 Days)]; 1. Labour Market Test; 2. Work Permit Application; 3. Study Permit Application [Work Permit]
Netherlands,"1. EU ICT Residence Permit Application; 2. Biometric Registration Appointment at IND; 3. Address Registration; 4. Residence Card Collection [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Request for Project Approval; 2. Posted Worker Notification (If Applicable); 3. Notification of Services; 4. Residence Permit Application at IND; 5. Address Registration [Work Permit Exemption (International Commercial Trade Regulations Program) ]; 1. TWV (Work Permit) Application [Cross-Border Worker]; 1. Posted Worker Notification (If Applicable); 2. Notification of Services; 3. Residence Permit Application Submission; 4. Address Registration [Van der Elst (Assignment from Within the EEA Over 90 Days)]; 1. Work Permit (TWV) Application [Temporary Work Permit (Intra-Company Transfer) (Under 90 Days)]; 1. Posted Worker Notification (If Applicable); 2. Notification of Services [Van der Elst (Assignment from Within the EEA up to 90 Days)]; 1. Posted Worker Notification (If Applicable) [Temporary Assignment as a Visitor (Meetings/Training/Software Implementation)]; 1. Work Permit (TWV) Application [Temporary Work Permit (Highly Skilled Migrant) (Under 90 Days)]; 1. Highly Skilled Migrant Residence Permit Application; 2. IND Registration, Residence Permit Collection and BSN Number Issuance [Highly Skilled Migrant Procedure (Expatcenter) to Certain Cities Only]; 1. Highly Skilled Migrant Residence Permit Application; 2. Biometric Registration Appointment at IND; 3. Address Registration; 4. Residence Card Collection [Highly Skilled Migrant Procedure]; 1. Work Permit (TWV) Application; 2. Labour Migrant Residence Permit Application; 3. Posted Worker Notification (If Applicable); 4. Biometric Registration Appointment at IND; 5. Address Registration; 6. Residence Card Collection [Work Permit (Intra-Company Transfer)]","1. EU ICT Permit and MVV Application (TEV) Application; 2. MVV Entry Visa Collection; 3. Registration Appointment at IND; 4. Address Registration [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Request for Project Approval; 2. Posted Worker Notification (If Applicable); 3. Notification of Services; 4. Residence Permit Collection at IND; 5. Address Registration [Work Permit Exemption (International Commercial Trade Regulations Program) ]; 1. TWV (Work Permit) Application [Cross-Border Worker]; 1. Posted Worker Notification (If Applicable); 2. Notification of Services; 3. Residence Permit Application Submission; 4. Address Registration [Van der Elst (Assignment from Within the EEA Over 90 Days)]; 1. Work Permit (TWV) Application [Temporary Work Permit (Intra-Company Transfer) (Under 90 Days)]; 1. Posted Worker Notification (If Applicable); 2. Notification of Services [Van der Elst (Assignment from Within the EEA up to 90 Days)]; 1. Posted Worker Notification (If Applicable) [Temporary Assignment as a Visitor (Meetings/Training/Software Implementation)]; 1. Work Permit (TWV) Application [Temporary Work Permit (Highly Skilled Migrant) (Under 90 Days)]; 1. Highly Skilled Migrant Residence Permit Application; 2. Highly Skilled Migrant Entry Residence Permit and MVV Application (TEV); 3. MVV Entry Visa Collection; 4. IND Registration, Residence Permit Collection and BSN Number Issuance; 5. IND Registration, Residence Permit Collection and BSN Number Issuance [Highly Skilled Migrant Procedure (Expatcenter) to Certain Cities Only]; 1. Highly Skilled Migrant Residence Permit Application; 2. Registration Appointment at IND; 3. Address Registration [Highly Skilled Migrant Procedure]; 1. Work Permit (TWV) Application; 2. Entry Residence Permit (TEV) Application; 3. Labour Migrant Residence Permit Application; 4. Collection of MVV Entry Visa Sticker; 5. Posted Worker Notification (If Applicable); 6. Registration Appointment at IND; 7. Address Registration [Work Permit (Intra-Company Transfer)]"
New Zealand,1. Labour Market Test; 2. Visa Application [Temporary Work Visa (Essential Skills) (12 Months Plus)]; 1. Labour Market Test; 2. Visa Application [Temporary Work Visa (Essential Skills) (Under 12 Months)]; 1. Temporary Work Visa Application [Temporary Work Visa (Specific Purpose or Event)  (Intra-Company Transferee 12 Months Plus) ]; 1. Visa Application [Temporary Work Visa (Specific Purpose or Event) (Under 12 Months)]; 1. Visa Application [Work to Residence Visa - Talent (Accredited Employers)],1. Labour Market Test; 2. Visa Application [Temporary Work Visa (Essential Skills) (12 Months Plus)]; 1. Labour Market Test; 2. Visa Application [Temporary Work Visa (Essential Skills) (Under 12 Months)]; 1. Temporary Work Visa Application [Temporary Work Visa (Specific Purpose or Event)  (Intra-Company Transferee 12 Months Plus) ]; 1. Visa Application [Temporary Work Visa (Specific Purpose or Event) (Under 12 Months)]; 1. Visa Application [Work to Residence Visa - Talent (Accredited Employers)]
Nicaragua,1. Submit Entry Request Form; 2. Contract Certification and Statement of Compliance Application at the Labour Ministry; 3. Temporary Work Permit Application; 4. Passport Endorsement [Temporary Work Permit (Up to One Year)]; 1. Submit Entry Request Form; 2. Contract Certification and Statement of Compliance Application at the Labour Ministry; 3. Temporary Residence with Work Permit Application; 4. ID Card Application and Collection [Temporary Residence with Work Permit ],1. Submit Entry Request Form; 2. Contract Certification and Statement of Compliance Application at the Labour Ministry; 3. Temporary Work Permit Application; 4. Passport Endorsement [Temporary Work Permit (Up to One Year)]; 1. Submit Entry Request Form; 2. Contract Certification and Statement of Compliance Application at the Labour Ministry; 3. Temporary Residence with Work Permit Application; 4. ID Card Application and Collection [Temporary Residence with Work Permit ]
Nigeria,1. Labour Market Search; 2. Content Board Approval; 3. Expatriate Quota Application; 4. Subject to Regularisation (STR) Visa; 5. NIS Registration; 6. Combined Expatriate Residence Permit and Alien Card (CERPAC) Application; 7. Alien Registration Card (ARC) Application [STR Visa and CERPAC (Oil and Gas)]; 1. Temporary Work Permit (TWP) Pre-Approval; 2. Temporary Work Permit (TWP) Visa Application [Temporary Work Permit (TWP)]; 1. Business Visa on Arrival (VoA) Pre-Approval; 2. Business Visa on Arrival (VoA) Endorsement [Business Visa on Arrival (VoA)]; 1. Expatriate Quota Application; 2. Subject to Regularisation (STR) Visa Application; 3. NIS Registration; 4. Combined Expatriate Residence Permit and Alien Card (CERPAC) Application; 5. Alien Registration Card (ARC) Application [STR Visa and CERPAC],1. Labour Market Search; 2. Content Board Approval; 3. Expatriate Quota Application; 4. Subject to Regularisation (STR) Visa; 5. NIS Registration; 6. Combined Expatriate Residence Permit and Alien Card (CERPAC) Application; 7. Alien Registration Card (ARC) Application [STR Visa and CERPAC (Oil and Gas)]; 1. Temporary Work Permit (TWP) Pre-Approval; 2. Temporary Work Permit (TWP) Visa Application [Temporary Work Permit (TWP)]; 1. Business Visa on Arrival (VoA) Pre-Approval; 2. Business Visa on Arrival (VoA) Endorsement [Business Visa on Arrival (VoA)]; 1. Expatriate Quota Application; 2. Subject to Regularisation (STR) Visa Application; 3. NIS Registration; 4. Combined Expatriate Residence Permit and Alien Card (CERPAC) Application; 5. Alien Registration Card (ARC) Application [STR Visa and CERPAC]
Norway,1. Residence Application Appointment Booking; 2. Residence Card Application [Service Providers (Assignment from Within the EEA)]; 1. Residence Permit Application; 2. Residence Card Application [Residence Permit (Seconded Employee)]; 1. Residence Permit Application; 2. Residence Card Application [Residence Permit (Local Hire)]; 1. Police Registration [Temporary Assignments (Under 90 Days)],1. Residence Application Appointment Booking; 2. Residence Card Application [Service Providers (Assignment from Within the EEA)]; 1. Residence Permit Application; 2. Residence Card Application [Residence Permit (Seconded Employee)]; 1. Residence Permit Application; 2. Residence Card Application [Residence Permit (Local Hire)]; 1. Police Registration [Temporary Assignments (Under 90 Days)]
Oman,1. Labour Permit Card Application; 2. Employment Visa Application; 3. Local Immigration Medical; 4. ID Card Application; 5. Family Residence Visa Application; 6. ID Card Application [Employment Visa ],1. Labour Permit Card Application; 2. Employment Visa Application; 3. Local Immigration Medical; 4. ID Card Application; 5. Family Residence Visa Application; 6. ID Card Application [Employment Visa ]
Pakistan,1. Board of Investment Application; 2. Work Visa Application [Work Visa],1. Board of Investment Application; 2. Work Visa Application [Work Visa]
